"AdvisoryNumber","Date","Lat","Long","Wind","Pres","Movement","Type","Name","Received","Forecaster"
"19A","08/25/2017 02:00","25.6","95.1","105","967","NW at 10 MPH (315 deg)","Hurricane","Harvey","08/25/2017 01:56","Avila"
"20","08/25/2017 05:00","25.9","95.4","105","967","NW at 9 MPH (320 deg)","Hurricane","Harvey","08/25/2017 04:47","Avila"
"20A","08/25/2017 08:00","26.3","95.8","110","950","NW at 10 MPH (315 deg)","Hurricane","Harvey","08/25/2017 07:48","Berg"
"21","08/25/2017 11:00","26.7","96.0","110","947","NW at 10 MPH (315 deg)","Hurricane","Harvey","08/25/2017 10:57","Berg"
"21A","08/25/2017 14:00","27.1","96.3","110","945","NW at 10 MPH (325 deg)","Hurricane","Harvey","08/25/2017 13:56","Berg"
"21S","08/25/2017 15:00","27.2","96.4","120","943","NW at 10 MPH (325 deg)","Hurricane","Harvey","08/25/2017 15:05","Brown"
"22","08/25/2017 17:00","27.5","96.5","125","941","NW at 10 MPH (325 deg)","Hurricane","Harvey","08/25/2017 16:56","Berg"
"22S","08/25/2017 19:00","27.7","96.7","130","941","NW at 8 MPH (325 deg)","Hurricane","Harvey","08/25/2017 19:08","Blake"
"22A","08/25/2017 20:00","27.8","96.8","130","941","NW at 8 MPH (325 deg)","Hurricane","Harvey","08/25/2017 19:59","Beven"
"23","08/25/2017 23:00","28.0","97.0","130","938","NW at 7 MPH (325 deg)","Hurricane","Harvey","08/25/2017 23:02","Beven"
"23A","08/26/2017 02:00","28.2","97.0","125","942","NW at 6 MPH (325 deg)","Hurricane","Harvey","08/26/2017 01:50","Berg"
"24","08/26/2017 05:00","28.5","97.2","100","963","NW at 6 MPH (325 deg)","Hurricane","Harvey","08/26/2017 04:56","Berg"
"24A","08/26/2017 08:00","28.7","97.2","80","975","NNW at 6 MPH (340 deg)","Hurricane","Harvey","08/26/2017 07:56","Avila"
"25","08/26/2017 11:00","28.9","97.3","75","984","N at 2 MPH (350 deg)","Hurricane","Harvey","08/26/2017 10:53","Avila/lapenta"
"25A","08/26/2017 14:00","29.1","97.6","70","987","NNW at 2 MPH (340 deg)","Tropical Storm","Harvey","08/26/2017 13:50","Avila"
"26","08/26/2017 17:00","29.1","97.6","65","990","Stationary","Tropical Storm","Harvey","08/26/2017 16:38","Avila"
"26A","08/26/2017 20:00","29.2","97.4","60","992","ENE at 2 MPH (60 deg)","Tropical Storm","Harvey","08/26/2017 19:41","Beven"
"27","08/26/2017 23:00","29.3","97.3","50","994","ENE at 1 MPH (60 deg)","Tropical Storm","Harvey","08/26/2017 22:47","Beven"
"27A","08/27/2017 02:00","29.3","97.4","45","998","Stationary","Tropical Storm","Harvey","08/27/2017 01:47","Pasch"
"28","08/27/2017 05:00","29.2","97.7","45","998","SSW at 1 MPH (200 deg)","Tropical Storm","Harvey","08/27/2017 04:44","Pasch"
"29","08/27/2017 11:00","29.0","97.4","40","1000","SSE at 2 MPH (160 deg)","Tropical Storm","Harvey","08/27/2017 10:56","Brown"
"29A","08/27/2017 14:00","29.0","97.2","40","1000","SE at 2 MPH (145 deg)","Tropical Storm","Harvey","08/27/2017 14:02","Brown"
"30","08/27/2017 17:00","29.0","97.0","40","1000","SE at 2 MPH (140 deg)","Tropical Storm","Harvey","08/27/2017 16:47","Brown"
"30A","08/27/2017 20:00","28.9","96.8","40","1000","SE at 3 MPH (130 deg)","Tropical Storm","Harvey","08/27/2017 19:38","Brennan"
"31","08/27/2017 23:00","28.8","96.6","40","1000","ESE at 3 MPH (120 deg)","Tropical Storm","Harvey","08/27/2017 22:35","Brennan"
"31A","08/28/2017 02:00","28.7","96.4","40","999","ESE at 3 MPH (120 deg)","Tropical Storm","Harvey","08/28/2017 01:53","Pasch"
"32A","08/28/2017 08:00","28.6","96.1","40","997","SE at 3 MPH (130 deg)","Tropical Storm","Harvey","08/28/2017 07:53","Beven"
"33","08/28/2017 11:00","28.5","96.0","40","997","SE at 5 MPH (125 deg)","Tropical Storm","Harvey","08/28/2017 10:53","Beven"
"34","08/28/2017 17:00","28.5","95.7","45","997","ESE at 3 MPH (110 deg)","Tropical Storm","Harvey","08/28/2017 16:50","Beven"
"34A","08/28/2017 20:00","28.2","95.5","45","997","ESE at 3 MPH (120 deg)","Tropical Storm","Harvey","08/28/2017 19:53","Brown"
"35","08/28/2017 23:00","28.2","95.3","45","997","ESE at 3 MPH (120 deg)","Tropical Storm","Harvey","08/28/2017 22:47","Brown"
"35A","08/29/2017 02:00","28.0","95.0","45","997","ESE at 5 MPH (120 deg)","Tropical Storm","Harvey","08/29/2017 01:35","Pasch"
"36","08/29/2017 05:00","28.1","94.8","45","997","E at 3 MPH (90 deg)","Tropical Storm","Harvey","08/29/2017 05:02","Pasch"
"37","08/29/2017 11:00","28.4","94.3","45","997","NNE at 5 MPH (25 deg)","Tropical Storm","Harvey","08/29/2017 11:05","Avila"
"38","08/29/2017 17:00","29.2","94.3","50","994","NNE at 6 MPH (30 deg)","Tropical Storm","Harvey","08/29/2017 16:41","Avila"
"38A","08/29/2017 20:00","28.7","93.9","50","994","E at 6 MPH (90 deg)","Tropical Storm","Harvey","08/29/2017 19:56","Brown"
"39","08/29/2017 23:00","29.0","93.6","50","994","NE at 6 MPH (35 deg)","Tropical Storm","Harvey","08/29/2017 22:59","Brown"
"40","08/30/2017 05:00","29.8","93.4","45","990","NNE at 7 MPH (30 deg)","Tropical Storm","Harvey","08/30/2017 04:53","Berg"
"40A","08/30/2017 08:00","30.2","93.6","45","992","N at 9 MPH (360 deg)","Tropical Storm","Harvey","08/30/2017 07:50","Beven"
"42A","08/30/2017 20:00","31.2","92.6","35","998","NNE at 8 MPH (20 deg)","Tropical Depression","HARVEY","08/30/2017 19:56","Brown"
"43","08/30/2017 23:00","31.7","92.3","35","998","NNE at 9 MPH (30 deg)","Tropical Depression","HARVEY","08/30/2017 23:35","Brown"
